date,id_punto,value,x,y
2024-06-01,Pz2,138.34,499438.71,5037209.55
2024-07-01,Pz2,138.83666666666667,499438.71,5037209.55
2024-09-01,Pz2,139.315,499438.71,5037209.55
2023-09-01,Pz23e,167.161,497578.425,5049159.246
2023-11-01,Pz23e,168.091,497578.425,5049159.246
2024-03-01,Pz23e,168.351,497578.425,5049159.246
2024-04-01,Pz23e,169.401,497578.425,5049159.246
2024-05-01,Pz23e,170.071,497578.425,5049159.246
2024-06-01,Pz23e,170.801,497578.425,5049159.246
2024-07-01,Pz23e,171.821,497578.425,5049159.246
2024-09-01,Pz23e,172.041,497578.425,5049159.246
2024-04-01,Pz3,129.57666666666668,501856.73,5035250.44
2024-06-01,Pz3,129.88,501856.73,5035250.44
2024-07-01,Pz3,130.22666666666666,501856.73,5035250.44
2024-09-01,Pz3,129.52,501856.73,5035250.44
2024-04-01,Pz4,126.11,502268.22,5034086.07
2024-06-01,Pz4,126.48,502268.22,5034086.07
2024-07-01,Pz4,126.57,502268.22,5034086.07
2024-09-01,Pz4,126.72999999999999,502268.22,5034086.07
2023-04-01,PzCavaLagoCapanna,124.87,501171.005,5033454.333
2023-06-01,PzCavaLagoCapanna,125.81,501171.005,5033454.333
2023-09-01,PzCavaLagoCapanna,125.76,501171.005,5033454.333
2023-11-01,PzCavaLagoCapanna,125.63,501171.005,5033454.333
2023-12-01,PzCavaLagoCapanna,125.49,501171.005,5033454.333
2024-01-01,PzCavaLagoCapanna,125.61,501171.005,5033454.333
2024-03-01,PzCavaLagoCapanna,125.99,501171.005,5033454.333
2024-04-01,PzCavaLagoCapanna,125.78,501171.005,5033454.333
2024-05-01,PzCavaLagoCapanna,125.69,501171.005,5033454.333
2024-06-01,PzCavaLagoCapanna,125.79,501171.005,5033454.333
2024-07-01,PzCavaLagoCapanna,125.93,501171.005,5033454.333
2024-09-01,PzCavaLagoCapanna,126.17500000000001,501171.005,5033454.333
2023-09-01,PzNuovo,125.171,501958.581,5033595.005
2023-11-01,PzNuovo,125.181,501958.581,5033595.005
2023-12-01,PzNuovo,125.091,501958.581,5033595.005
2024-01-01,PzNuovo,125.261,501958.581,5033595.005
2024-03-01,PzNuovo,125.711,501958.581,5033595.005
2024-04-01,PzNuovo,125.411,501958.581,5033595.005
2024-05-01,PzNuovo,125.311,501958.581,5033595.005
2024-06-01,PzNuovo,125.501,501958.581,5033595.005
